,2014,2015,2016,2017,2018,2019,2020,2021,MAD
311213,0.0,0.0,0.0,0.0,0.0,41.2,79.5,82.9,25.5
31122,299.2,384.9,350.7,622.3,829.9,482.7,373.1,337.7,460.0
311224,304.6,374.2,251.9,215.9,356.0,288.5,230.5,215.9,279.7
311225,5.4,10.7,98.8,406.3,473.9,194.2,142.5,121.9,181.7
31123,68.6,119.1,22.1,14.4,10.9,2.6,238.2,193.9,83.7
311230,68.6,119.1,22.1,14.4,10.9,2.6,238.2,193.9,83.7
3113,161.1,714.1,42.0,123.9,4.9,66.6,2.4,805.9,240.1
31131,64.4,75.4,34.2,15.8,7.6,2.8,4.1,22.3,28.3
311314,64.4,75.4,34.2,15.8,7.6,2.8,4.1,22.3,28.3
31134,165.6,167.3,232.2,445.5,487.0,478.3,574.4,327.6,359.8
311340,165.6,167.3,232.2,445.5,487.0,478.3,574.4,327.6,359.8
31135,262.3,471.3,240.0,585.2,499.4,414.5,580.9,1155.9,526.2
311351,223.5,163.1,170.4,243.2,194.7,144.3,131.5,181.6,181.5
311352,485.8,634.5,410.4,828.3,694.1,558.8,712.4,1337.5,707.7
3114,638.4,471.2,959.5,835.0,1344.6,952.6,961.7,949.0,889.0
31141,261.5,1.2,208.0,150.1,266.3,233.2,175.9,338.1,204.3
311411,15.8,20.4,19.1,14.9,7.9,24.6,6.2,26.4,16.9
311412,277.3,19.2,188.9,135.2,258.4,257.8,182.2,311.8,203.9
31142,376.9,472.4,751.5,685.0,1078.3,719.3,785.8,610.8,685.0
311421,376.9,472.4,751.5,673.2,1041.8,706.0,795.2,609.6,678.3
311423,0.0,0.0,0.0,11.7,36.4,13.3,9.4,1.3,9.0
3115,108.5,736.4,448.4,914.3,514.0,201.2,734.0,415.9,509.1
31151,122.5,697.0,497.3,730.9,396.6,172.1,427.8,202.5,405.9
311511,74.7,411.3,203.1,432.2,230.4,179.2,293.5,217.1,255.2
311512,7.3,5.9,5.3,16.5,6.5,31.4,9.4,50.6,16.6
311513,56.3,204.0,221.4,245.7,235.7,73.7,116.4,105.9,157.4
311514,96.7,87.7,78.1,69.4,63.0,49.4,8.5,69.8,65.3
31152,14.0,39.3,48.9,183.4,117.3,29.1,306.2,213.4,119.0
311520,14.0,39.3,48.9,183.4,117.3,29.1,306.2,213.4,119.0
3116,14770.8,17114.5,16763.6,17172.3,18180.2,18163.9,17744.3,15521.2,16928.9
31161,14770.8,17114.5,16763.6,17172.3,18180.2,18163.9,17744.3,15521.2,16928.9
311611,1452.1,1570.2,1143.4,764.0,801.4,550.9,141.1,522.1,868.2
311612,523.5,690.3,419.7,853.2,1217.4,1271.7,1359.0,1228.6,945.4
311613,193.9,198.2,206.5,281.8,436.3,425.6,383.3,377.8,312.9
311615,15893.4,18192.6,17693.8,17364.9,18200.6,17868.7,16627.5,14148.3,16998.7
3117,57.5,375.9,332.5,380.9,336.8,128.5,157.3,150.7,240.0
31171,57.5,375.9,332.5,380.9,336.8,128.5,157.3,150.7,240.0
311710,57.5,375.9,332.5,380.9,336.8,128.5,157.3,150.7,240.0
3118,2714.5,4753.1,4176.3,4373.7,3195.8,5529.6,5137.3,5126.5,4375.8
31181,4337.0,6248.7,5080.9,5289.6,4268.5,6838.2,5770.6,5787.9,5452.7
311811,4524.4,5215.5,3281.1,3151.6,2188.4,4501.4,3734.6,4300.7,3862.2
311812,224.0,1278.6,2116.8,2343.2,1728.1,2087.0,1960.4,1436.3,1646.8
311813,411.4,245.4,317.0,205.1,352.0,249.9,75.5,50.9,238.4
31182,772.7,662.0,423.0,411.2,871.9,550.1,147.9,72.6,488.9
311821,1112.7,961.9,630.5,418.3,872.7,815.7,130.7,120.4,632.9
311824,340.0,299.9,207.6,7.2,0.8,265.6,278.7,193.0,199.1
31183,849.9,833.6,481.7,504.8,200.8,758.5,781.2,734.0,643.1
311830,849.9,833.6,481.7,504.8,200.8,758.5,781.2,734.0,643.1
3119,518.7,1980.6,1017.1,782.7,330.0,1372.4,1448.4,266.7,964.6
31191,371.3,998.1,496.0,378.8,63.7,757.5,150.0,677.0,486.6
311911,535.8,462.2,404.9,534.1,449.7,647.4,350.2,344.5,466.1
311919,164.5,535.9,91.1,155.3,513.4,110.1,200.2,332.5,262.9
31192,1141.6,1628.2,1722.0,2126.1,1970.5,39.3,329.6,347.1,1163.0
311920,1141.6,1628.2,1722.0,2126.1,1970.5,39.3,329.6,347.1,1163.0
31193,257.0,459.1,692.9,981.7,753.1,260.6,0.6,63.0,433.5
311930,257.0,459.1,692.9,981.7,753.1,260.6,0.6,63.0,433.5
31194,411.1,91.9,244.5,237.0,195.9,113.0,109.6,89.7,186.6
311941,217.6,5.0,210.4,249.8,124.4,25.2,239.7,154.7,153.3
311942,193.5,96.9,34.1,12.8,320.4,87.9,130.1,244.4,140.0
31199,840.0,1196.8,263.5,503.5,627.7,1795.5,1158.6,215.9,825.2
311991,561.9,924.1,553.8,782.6,694.8,1620.0,614.1,360.6,764.0
311999,278.2,272.7,290.3,279.1,67.0,175.5,544.5,576.4,310.5
312,918.4,515.4,399.4,850.8,1424.4,2241.7,513.2,1304.5,1021.0
3121,878.2,489.2,302.7,794.8,1296.5,2011.1,297.9,1120.1,898.8
31211,1142.1,657.2,368.6,506.9,362.7,911.9,469.9,606.6,628.2
312111,274.3,358.5,1353.5,231.1,532.7,24.6,886.4,1040.8,587.7
